Place,Latitude,Longitude,District,accidents,landslide,avalanche,flood,earthquake_damage,Hospital,Police,Fire Station,Emergency_Risk,Natural_Disaster_Risk,Tourism_Risk_Index,Risk_Category
Jaljala Pyuthan,28.1000,82.9000,Pyuthan,5,12,6,2,8,0,0,0,95,90,93.0,HIGH
Rolpa Jaljala Trek,28.8000,82.5000,Rolpa,7,15,10,2,9,0,0,0,100,95,98.0,HIGH
Liwang Rolpa,28.3000,82.6300,Rolpa,2,5,0,4,6,5,4,1,55,55,55.0,MEDIUM
Thawang Village,28.6500,82.6500,Rolpa,5,12,6,3,8,0,1,0,90,85,87.0,HIGH
Rukumkot Lake,28.7500,82.5000,Rukum West,4,8,2,5,6,2,2,0,75,70,73.0,HIGH
Sisne Himal Base,28.7000,82.6000,Rukum West,8,17,15,1,10,0,0,0,100,100,100.0,HIGH
Rara Rural Forest Trail,29.5300,82.0900,Mugu,8,12,4,5,8,5,5,2,70,80,82.0,HIGH
Rara Chuchure Village,29.5000,82.1500,Mugu,10,15,5,4,9,0,0,0,100,90,92.0,HIGH
Murma Top Rural Route,29.5400,82.1000,Mugu,12,16,8,2,9,0,0,0,100,90,92.0,HIGH
Talcha Village Trail,29.5200,82.1500,Mugu,6,10,3,5,7,10,8,3,65,70,72.0,HIGH
Karnali Mugu Riverside,29.6500,82.3000,Mugu,9,14,5,18,8,5,5,2,75,85,88.0,HIGH
Soru Rural Valley,29.6500,82.4500,Mugu,7,12,3,8,8,5,5,2,70,80,82.0,HIGH
Gamgadhi Rural Trail,29.5300,82.0800,Mugu,3,6,0,10,5,30,25,10,40,50,55.0,MEDIUM
Humla Simkot Rural Route,29.9700,81.8200,Humla,5,10,3,2,8,10,8,3,65,75,78.0,HIGH
Limi Valley Remote Trail,30.0000,81.7000,Humla,20,20,20,0,10,0,0,0,100,100,99.0,HIGH
Yari Village Camp,30.0500,81.6000,Humla,12,16,8,1,9,0,0,0,100,90,92.0,HIGH
Muchu Rural Route,30.0500,81.8500,Humla,10,15,6,1,8,0,0,0,100,85,88.0,HIGH
Kermi Hot Spring Trail,29.9000,81.7000,Humla,5,9,2,3,7,10,8,3,65,70,72.0,HIGH
Bajura Badimalika Trail,29.4000,81.2000,Bajura,14,18,8,2,9,0,0,0,100,95,95.0,HIGH
Kolti Rural Settlement,29.2500,81.6500,Bajura,4,8,0,8,6,20,15,5,50,65,68.0,HIGH
Budhinanda Village Route,29.5000,81.2500,Bajura,9,14,5,4,8,5,5,2,70,80,82.0,HIGH
Swamikartik Rural Area,29.5500,81.3000,Bajura,6,10,3,6,7,10,8,3,65,75,78.0,HIGH
Bajhang Saipal Trail,29.8500,81.2000,Bajhang,18,20,18,0,10,0,0,0,100,100,99.0,HIGH
Saipal Rural Camp,30.0000,81.2500,Bajhang,16,20,15,0,10,0,0,0,100,100,98.0,HIGH
Chainpur Village Route,29.5500,81.2000,Bajhang,5,9,2,5,7,10,8,3,65,70,72.0,HIGH
Khaptad Rural Trail,29.3000,80.9500,Bajhang,8,12,4,4,8,5,5,2,70,75,78.0,HIGH
Khaptad National Park Rural Camp,29.3000,81.0000,Bajhang,10,15,5,3,8,5,5,2,75,85,88.0,HIGH
Doti Khaptad Route,29.2000,80.9500,Doti,5,8,0,10,6,20,15,5,50,65,68.0,HIGH
Silgadhi Rural View,29.2700,80.9500,Doti,2,4,0,8,4,60,50,20,15,30,35.0,LOW
Achham Ramaroshan Trail,29.1000,81.2000,Achham,9,13,4,6,8,5,5,2,70,80,82.0,HIGH
Ramaroshan Rural Lake,29.1500,81.3000,Achham,8,12,3,5,7,10,8,3,65,75,78.0,HIGH
Mangalsen Rural Route,29.1200,81.2500,Achham,3,5,0,7,5,50,40,15,20,35,40.0,MEDIUM
Darchula Api Base Trail,29.9500,80.8500,Darchula,18,20,20,0,10,0,0,0,100,100,99.0,HIGH
Byas Rural Valley Route,30.0000,80.7000,Darchula,20,20,20,0,10,0,0,0,100,100,99.0,HIGH
Malikarjun Village Trail,29.7000,80.6000,Darchula,6,10,3,8,7,10,8,3,65,75,78.0,HIGH
Gokuleshwar Rural Area,29.6500,80.5500,Darchula,3,5,0,10,4,60,50,20,15,30,35.0,LOW
Baitadi Patan Rural Trail,29.5000,80.5000,Baitadi,4,7,0,8,5,40,30,10,25,45,50.0,MEDIUM
Tripurasundari Village,29.4500,80.5500,Baitadi,5,9,2,7,6,20,15,5,50,65,68.0,HIGH
Dilasaini Rural Route,29.5500,80.6000,Baitadi,3,6,0,6,5,50,40,15,20,35,40.0,MEDIUM
Dadeldhura Ajaymeru Trail,29.3000,80.5500,Dadeldhura,3,5,0,7,5,50,40,15,20,35,40.0,MEDIUM
Jaljale Rural Forest,29.2500,80.6000,Dadeldhura,5,8,0,6,6,30,25,10,35,50,55.0,MEDIUM
Ugratara Rural Route,29.3000,80.5500,Dadeldhura,2,3,0,5,3,80,70,25,5,15,20.0,LOW
Tansen Srinagar View,27.8700,83.5400,Palpa,2,4,0,3,5,20,15,5,30,35,32.0,LOW
Bhairabsthan Temple,27.9000,83.5500,Palpa,1,2,0,3,5,25,20,5,20,25,22.0,LOW
Rani Mahal River Side,27.9000,83.4700,Palpa,3,2,0,12,4,8,6,2,65,65,65.0,HIGH
Deurali Hill Palpa,27.9500,83.5200,Palpa,3,6,1,3,6,5,4,1,60,60,60.0,MEDIUM
Ghorahi Valley,28.0400,82.4900,Dang,2,1,0,8,3,30,25,8,20,30,25.0,LOW
Tulsipur Park,28.1300,82.3000,Dang,1,0,0,7,2,35,30,8,15,25,20.0,LOW
Baraha Temple Dang,28.0500,82.3000,Dang,2,2,0,8,4,20,15,5,35,40,38.0,MEDIUM
Deukhuri Valley,27.9500,82.6000,Dang,3,1,0,15,3,15,12,3,55,65,60.0,MEDIUM
Kapurkot Viewpoint,28.2000,82.5500,Salyan,5,10,4,3,7,2,1,0,85,80,82.0,HIGH
Kakre Vihar,28.5800,81.6200,Surkhet,2,3,0,5,5,25,20,5,30,35,32.0,LOW
Bulbule Lake,28.5900,81.6300,Surkhet,2,0,0,10,3,30,25,8,25,40,32.0,LOW
Deuti Bajai Temple,28.5900,81.6300,Surkhet,1,0,0,5,4,40,35,10,10,15,12.0,LOW
Rara View Surkhet Route,29.0000,82.0000,Surkhet,6,13,7,3,8,0,0,0,95,90,93.0,HIGH
Karnali River Rafting,28.5000,81.9000,Surkhet,7,1,0,18,3,5,4,1,85,80,83.0,HIGH
Dailekh Jwala Area,28.8500,81.7000,Dailekh,3,6,1,4,6,4,3,1,60,65,62.0,MEDIUM
Dullu Heritage Area,28.8500,81.7500,Dailekh,2,5,0,3,6,8,6,2,50,45,47.0,MEDIUM
Panchakoshi Area,28.9000,81.7000,Dailekh,4,8,2,3,7,2,1,0,75,70,73.0,HIGH
Ramaroshan Tourism Area,29.3000,81.0500,Achham,5,11,3,5,7,1,1,0,90,85,87.0,HIGH
Masta Temple Bajura,29.5000,81.4000,Bajura,7,15,10,2,9,0,0,0,100,95,98.0,HIGH
Badi Malika Trail,29.5000,81.4000,Bajura,8,16,12,2,10,0,0,0,100,100,100.0,HIGH
Khaptad Trek Route,29.2500,81.1000,Doti,6,13,5,3,8,0,1,0,95,85,89.0,HIGH
Silgadhi Bazaar,29.2600,80.9500,Doti,2,3,0,5,5,20,15,5,30,35,32.0,LOW
Seti River Canyon,29.2000,81.0000,Doti,5,2,0,15,3,5,4,1,80,75,78.0,HIGH
Api Base Camp,29.9500,80.9500,Darchula,10,20,20,1,10,0,0,0,100,100,100.0,HIGH
Saipal Base Camp,30.0000,81.2000,Bajhang,10,20,20,1,10,0,0,0,100,100,100.0,HIGH
Bajhang Chainpur,29.5500,81.2000,Bajhang,3,7,2,3,6,5,4,1,65,65,65.0,HIGH
Surma Sarovar Lake,29.7000,81.2000,Bajhang,7,15,10,2,9,0,0,0,100,95,98.0,HIGH
Khaptad Lake,29.2500,81.1000,Doti,5,12,5,3,8,0,0,0,90,85,87.0,HIGH
Ghodaghodi Wetland,28.7000,80.9500,Kailali,2,0,0,12,2,15,12,3,45,55,50.0,MEDIUM
Kailali Tikapur Garden,28.5200,81.1200,Kailali,1,0,0,5,2,30,25,8,15,20,17.0,LOW
Karnali Chisapani,28.6500,81.3000,Kailali,4,1,0,18,3,8,6,2,70,75,73.0,HIGH
Bardia Wildlife Camp,28.4500,81.3500,Bardiya,4,0,0,10,2,10,8,2,50,50,50.0,MEDIUM
Thakurdwara Safari Point,28.4500,81.3000,Bardiya,2,0,0,8,2,15,12,3,35,40,38.0,MEDIUM
Bardia River Side,28.4500,81.2500,Bardiya,3,0,0,15,3,8,6,2,55,60,58.0,MEDIUM
Shuklaphanta Safari Zone,28.9000,80.2500,Kanchanpur,3,0,0,12,2,10,8,2,50,55,52.0,MEDIUM
Dodhara Chandani Area,28.8500,80.1300,Kanchanpur,2,0,0,15,2,15,12,3,45,60,52.0,MEDIUM
Mahakali River View,28.9500,80.1800,Kanchanpur,3,0,0,18,3,10,8,2,60,70,65.0,HIGH
Api Himal Rural Camp,29.9000,80.9500,Darchula,18,20,18,0,10,0,0,0,100,100,99.0,HIGH
Khalanga Rural Viewpoint,29.3000,80.6000,Darchula,3,5,0,8,5,50,40,15,20,35,40.0,MEDIUM
Ghusa Village Trail,29.9500,80.8500,Darchula,16,20,15,0,10,0,0,0,100,100,98.0,HIGH
Raskot Rural Area,29.1500,81.6500,Kalikot,5,9,2,5,7,10,8,3,65,70,72.0,HIGH
Pachal Jharana Route,29.2500,81.5000,Kalikot,6,10,3,6,7,10,8,3,65,75,78.0,HIGH
Sanni Triveni Trail,29.2500,81.5500,Kalikot,4,8,0,8,6,20,15,5,50,65,68.0,HIGH
Manma Rural Village,29.1300,81.7000,Kalikot,2,5,0,5,5,30,25,10,35,45,50.0,MEDIUM
Jajarkot Barekot Trail,28.9000,82.2000,Jajarkot,10,15,6,8,9,0,0,0,100,90,92.0,HIGH
Nalgad Rural Route,28.7000,82.1000,Jajarkot,6,10,2,12,7,10,8,3,65,75,78.0,HIGH
Kushe Rural Village,28.8000,82.2500,Jajarkot,7,12,3,6,8,5,5,2,70,75,78.0,HIGH
Jajarkot Bheri Trail,28.7000,82.2000,Jajarkot,8,12,3,10,8,5,5,2,70,80,82.0,HIGH
Rukum East Maikot Trail,28.8500,82.6000,Rukum East,10,15,6,2,9,0,0,0,100,90,92.0,HIGH
Putha Himal Route,28.8000,82.6500,Rukum East,18,20,18,0,10,0,0,0,100,100,99.0,HIGH
Taksera Village Area,28.7500,82.5500,Rukum East,8,12,4,4,8,5,5,2,70,75,78.0,HIGH
Rukum West Aathbiskot Trail,28.9500,82.2000,Rukum West,8,12,3,10,8,5,5,2,70,80,82.0,HIGH
Sani Bheri Rural Camp,28.7000,82.3500,Rukum West,7,10,2,15,7,5,5,2,70,80,82.0,HIGH
Chaurjahari Village,28.6500,82.4000,Rukum West,3,5,0,10,5,40,30,10,25,45,50.0,MEDIUM
Dolpa Shey Phoksundo Route,29.1700,82.9500,Dolpa,16,20,15,0,10,0,0,0,100,100,98.0,HIGH
Pugmo Village Trail,29.2200,82.9000,Dolpa,12,16,8,1,9,0,0,0,100,90,92.0,HIGH
Tarakot Rural Route,29.0500,82.2500,Dolpa,7,12,4,3,8,5,5,2,70,75,78.0,HIGH
Dunai Rural Heritage,29.0500,82.2500,Dolpa,3,5,0,5,5,30,25,10,35,45,50.0,MEDIUM
Juphal Village Trail,29.2800,82.2000,Dolpa,4,7,2,3,7,15,10,3,55,65,68.0,HIGH
Chharka Rural Camp,29.3000,83.0000,Dolpa,14,18,12,0,10,0,0,0,100,95,95.0,HIGH
Mukot Valley Route,29.5500,83.2000,Dolpa,20,20,20,0,10,0,0,0,100,100,99.0,HIGH
Mugu Rara North Trail,29.6000,82.1000,Mugu,12,16,8,3,9,0,0,0,100,90,92.0,HIGH
Khatyad Rural Camp,29.5500,82.4500,Mugu,6,10,3,5,7,10,8,3,65,70,72.0,HIGH
Soru Valley Route,29.6500,82.3000,Mugu,9,14,5,5,8,5,5,2,75,80,82.0,HIGH
Humla Limi Rural Trail,30.0000,81.7000,Humla,20,20,20,0,10,0,0,0,100,100,99.0,HIGH
Yari Remote Route,30.0500,81.6000,Humla,12,16,8,0,9,0,0,0,100,90,92.0,HIGH
Simkot View Trail,29.9700,81.8200,Humla,4,8,2,2,7,15,10,3,55,65,68.0,HIGH
Lumbini Maya Devi Temple,27.4698,83.2760,Rupandehi,0,0,0,0,0,0,0,0,100,0,40.0,MEDIUM
Lumbini Sacred Garden,27.4700,83.2750,Rupandehi,0,0,0,0,0,0,0,0,100,0,40.0,MEDIUM
Tilaurakot Palace,27.5700,83.0500,Kapilvastu,1,0,0,3,2,20,15,5,20,15,18.0,LOW
Jagadishpur Reservoir,27.5500,83.0800,Kapilvastu,2,0,0,10,2,15,12,3,45,45,45.0,MEDIUM
Swargadwari Pyuthan,28.0000,82.8000,Pyuthan,3,7,1,3,6,5,4,1,60,65,62.0,MEDIUM
Rolpa Guerrilla Trail,28.5000,82.6000,Rolpa,6,14,8,2,9,0,0,0,100,95,98.0,HIGH
Kakri Hill,28.6000,82.4000,Rolpa,5,12,6,3,8,0,0,0,90,85,87.0,HIGH
Jaljala Mountain,28.8000,82.5000,Rolpa,8,17,14,1,10,0,0,0,100,100,100.0,HIGH
Ghorahi Dang Valley,28.0400,82.4900,Dang,2,1,0,8,3,30,25,8,20,30,25.0,LOW
Rapti River Dang,27.9500,82.6000,Dang,5,1,0,18,3,8,6,2,75,80,78.0,HIGH
Lamahi Area,27.8500,82.5400,Dang,2,0,0,10,2,25,20,5,35,40,38.0,MEDIUM
Rukum Musikot,28.6200,82.4800,Rukum West,2,5,0,4,6,5,4,1,55,55,55.0,MEDIUM
Sani Bheri River,28.7000,82.5000,Rukum West,5,3,0,15,4,3,3,1,75,75,75.0,HIGH
Sisne Himal View,28.7000,82.6000,Rukum West,8,17,15,1,10,0,0,0,100,100,100.0,HIGH
Jajarkot Darbar,28.6500,82.1800,Jajarkot,2,6,0,5,7,5,4,1,60,60,60.0,MEDIUM
Khalanga Jajarkot,28.6500,82.1800,Jajarkot,2,5,0,4,6,8,6,2,50,55,52.0,MEDIUM
Jumla Sinja Valley,29.2800,82.1800,Jumla,4,10,3,3,7,1,1,0,90,85,87.0,HIGH
Chandannath Temple,29.2800,82.1800,Jumla,2,5,0,4,5,8,6,2,55,50,52.0,MEDIUM
Patarasi Lake,29.2000,82.3000,Jumla,7,15,10,2,9,0,0,0,100,95,98.0,HIGH
Mugu Gamgadhi,29.5300,82.1000,Mugu,3,8,2,4,7,1,1,0,80,75,78.0,HIGH
Rara National Park,29.5000,82.1000,Mugu,7,14,8,3,8,0,0,0,100,95,98.0,HIGH
Talcha Airport Area,29.5300,82.1000,Mugu,4,9,3,4,7,1,1,0,80,80,80.0,HIGH
Phoksundo Lake Dolpa,29.2000,82.9500,Dolpa,10,20,20,1,10,0,0,0,100,100,100.0,HIGH
Dolpa Trek Route,29.3000,83.0000,Dolpa,10,20,20,1,10,0,0,0,100,100,100.0,HIGH
Shey Gompa Dolpa,29.3500,82.9500,Dolpa,10,19,18,1,10,0,0,0,100,100,100.0,HIGH
Upper Dolpo Camp,29.4000,83.1000,Dolpa,10,20,20,1,10,0,0,0,100,100,100.0,HIGH
Beni Bazaar,28.3400,83.5700,Myagdi,2,3,0,8,4,20,15,5,30,40,35.0,LOW
Myagdi Hot Spring,28.4900,83.6500,Myagdi,3,2,0,12,4,8,6,2,55,65,60.0,MEDIUM
Galeshwor Temple,28.3500,83.5500,Myagdi,1,2,0,5,4,20,15,5,25,25,25.0,LOW
Dhaulagiri Trek,28.7500,83.4500,Myagdi,10,20,20,1,10,0,0,0,100,100,100.0,HIGH
Titi Lake Mustang,28.8500,83.6500,Mustang,6,13,7,2,8,0,0,0,95,90,93.0,HIGH
Kagbeni Mustang,28.8400,83.7800,Mustang,3,7,2,4,6,2,2,0,75,70,73.0,HIGH
Lomanthang Mustang,29.1800,83.9500,Mustang,1,1,0,0,3,5,4,1,40,20,30.0,LOW
Muktinath Mustang,28.8170,83.8710,Mustang,2,5,0,3,5,8,6,2,50,45,47.0,MEDIUM
Marpha Village,28.7500,83.6900,Mustang,1,2,0,4,3,15,12,3,25,30,27.0,LOW
Tatopani Mustang Route,28.6000,83.6500,Mustang,4,5,0,10,5,5,4,1,60,65,62.0,MEDIUM
Everest Base Camp South,27.9881,86.9250,Solukhumbu,20,7,15,2,8,3,3,1,50,100,80.0,HIGH
Kala Patthar,27.9970,86.8280,Solukhumbu,15,8,18,1,9,0,0,0,100,100,100.0,HIGH
Namche Bazaar,27.8050,86.7140,Solukhumbu,4,8,5,2,7,2,2,0,75,70,73.0,HIGH
Tengboche Monastery,27.8370,86.7640,Solukhumbu,5,10,8,2,8,1,1,0,85,85,85.0,HIGH
Dingboche Village,27.8920,86.8330,Solukhumbu,7,15,12,1,9,0,0,0,100,95,98.0,HIGH
Lobuche Village,27.9540,86.8060,Solukhumbu,8,17,15,1,10,0,0,0,100,100,100.0,HIGH
Gokyo Lake,27.9500,86.7000,Solukhumbu,10,20,20,1,10,0,0,0,100,100,100.0,HIGH
Cho La Pass,27.9500,86.7500,Solukhumbu,10,20,20,1,10,0,0,0,100,100,100.0,HIGH
Renjo La Pass,27.9800,86.6500,Solukhumbu,10,20,20,1,10,0,0,0,100,100,100.0,HIGH
Pheriche Village,27.9000,86.8200,Solukhumbu,8,17,14,1,10,0,0,0,100,100,100.0,HIGH
Lukla Airport,27.6870,86.7310,Solukhumbu,10,3,0,2,8,2,3,1,70,60,65.0,HIGH
Phakding Village,27.7450,86.7130,Solukhumbu,4,8,3,4,6,2,1,0,70,70,70.0,HIGH
Monjo Village,27.7700,86.7300,Solukhumbu,4,9,4,3,7,1,1,0,80,75,78.0,HIGH
Thame Village,27.8400,86.6500,Solukhumbu,7,15,10,2,9,0,0,0,100,95,98.0,HIGH
Mera Peak Base Camp,27.7000,86.9300,Solukhumbu,10,20,20,1,10,0,0,0,100,100,100.0,HIGH
Island Peak Base Camp,27.9000,86.9400,Solukhumbu,10,20,20,1,10,0,0,0,100,100,100.0,HIGH
Makalu Base Camp,27.7800,87.0900,Sankhuwasabha,10,20,20,1,10,0,0,0,100,100,100.0,HIGH
Makalu Barun National Park,27.6000,87.1000,Sankhuwasabha,9,18,16,2,10,0,0,0,100,100,100.0,HIGH
Tumlingtar Area,27.3000,87.2000,Sankhuwasabha,2,5,0,8,5,10,8,2,55,60,58.0,MEDIUM
Khandbari Bazaar,27.3800,87.2000,Sankhuwasabha,1,3,0,5,5,20,15,5,25,30,28.0,LOW
Barun River Valley,27.6000,87.0500,Sankhuwasabha,7,15,10,3,9,0,0,0,100,95,98.0,HIGH
Kanchenjunga Base Camp,27.7000,88.0000,T taplejung,10,20,20,1,10,0,0,0,100,100,100.0,HIGH
Ghunsa Village,27.7400,87.9700,T taplejung,8,17,14,1,10,0,0,0,100,100,100.0,HIGH
Yamphudin Village,27.4500,87.9000,T taplejung,6,14,8,2,9,0,0,0,95,90,93.0,HIGH
Taplejung Bazaar,27.3500,87.6700,T taplejung,2,5,0,5,6,10,8,2,55,50,52.0,MEDIUM
Pathibhara Temple,27.4200,87.7500,T taplejung,7,15,10,2,9,0,0,0,100,95,98.0,HIGH
Illam Tea Garden,26.9100,87.9300,Ilam,1,2,0,5,4,30,25,8,20,25,22.0,LOW
Sandakpur Viewpoint,27.0500,87.9500,Ilam,5,12,5,3,8,0,0,0,90,85,87.0,HIGH
Kanyam Tea Garden,26.9500,88.0200,Ilam,1,1,0,4,3,35,30,8,15,15,12.0,LOW
Mai Pokhari,27.0200,87.9300,Ilam,2,3,0,5,5,20,15,5,30,35,32.0,LOW
Antu Danda,26.9500,88.0800,Ilam,2,4,0,4,5,15,12,3,35,35,35.0,LOW
Panchthar Phidim,27.1500,87.7500,Panchthar,2,5,0,5,6,10,8,2,55,55,55.0,MEDIUM
Silauti Pokhari,27.1500,87.8500,Panchthar,5,10,3,4,7,2,1,0,85,80,82.0,HIGH
Pathibhara Trail,27.4200,87.7500,T taplejung,7,15,10,2,9,0,0,0,100,95,98.0,HIGH
Basanta Tea Area,27.1000,87.9000,Ilam,1,2,0,4,4,30,25,5,20,20,20.0,LOW
Mai River,27.0000,87.8500,Ilam,3,1,0,12,3,15,12,3,55,60,58.0,MEDIUM
Koshi Tappu Reserve,26.6500,87.0000,Sunsari,3,0,0,15,2,15,12,3,60,65,62.0,MEDIUM
Barahachhetra Temple,26.8000,87.1700,Sunsari,2,0,0,12,3,20,15,5,45,50,48.0,MEDIUM
Dharan Bhedetar,26.8100,87.2800,Sunsari,2,4,0,5,5,25,20,5,30,35,32.0,LOW
Namaste Falls,26.9000,87.3000,Sunsari,3,6,1,4,6,10,8,2,55,60,58.0,MEDIUM
Karnali River Rural Camp,29.7000,82.4500,Mugu,8,12,3,18,8,5,5,2,70,85,88.0,HIGH
Chhayanath Rural Trail,29.5200,82.1000,Mugu,5,9,2,6,7,10,8,3,65,70,72.0,HIGH
Ruga Village Route,29.5800,82.2500,Mugu,6,10,3,7,7,10,8,3,65,75,78.0,HIGH
Pulu Rural Settlement,29.4500,82.2000,Mugu,4,8,0,5,6,20,15,5,50,65,68.0,HIGH
Bajura Budhinanda Lake Trail,29.5500,81.2500,Bajura,11,16,8,1,9,0,0,0,100,90,92.0,HIGH
Martadi Rural Viewpoint,29.4200,81.2500,Bajura,3,5,0,8,5,40,30,10,25,45,50.0,MEDIUM
Kailashmandau Village,29.3000,81.3500,Bajura,5,9,2,7,7,10,8,3,65,70,72.0,HIGH
Bichhya Rural Trail,29.5000,81.1500,Bajura,7,12,3,6,8,5,5,2,70,75,78.0,HIGH
Bajhang Surma Route,30.0000,81.2500,Bajhang,15,19,12,0,10,0,0,0,100,95,96.0,HIGH
Chainpur Saipal Trail,29.5500,81.2000,Bajhang,6,10,3,5,7,10,8,3,65,70,72.0,HIGH
Thalara Rural Area,29.6500,81.1000,Bajhang,4,8,0,7,6,20,15,5,50,65,68.0,HIGH
Kanda Village Route,29.7000,81.2500,Bajhang,8,13,4,3,8,5,5,2,70,80,82.0,HIGH
Doti Badikedar Trail,29.1500,80.8500,Doti,5,9,2,8,7,10,8,3,65,75,78.0,HIGH
Khaptad Rural Meadow,29.3000,81.0000,Doti,8,12,4,4,8,5,5,2,70,75,78.0,HIGH
Jorayal Rural Route,29.2500,80.9500,Doti,3,6,0,10,5,40,30,10,25,45,50.0,MEDIUM
Purbichauki Village,29.2000,80.8500,Doti,4,7,0,8,6,30,25,10,35,50,55.0,MEDIUM
Achham Ramaroshan Lake,29.1500,81.3000,Achham,10,15,5,5,8,5,5,2,75,85,88.0,HIGH
Sanphebagar Rural Route,29.2500,81.2000,Achham,2,4,0,12,4,60,50,20,15,30,35.0,LOW
Mellekh Village Trail,29.2000,81.1500,Achham,6,10,3,6,7,10,8,3,65,70,72.0,HIGH
Ramaroshan Forest Camp,29.1000,81.3500,Achham,12,16,8,3,9,0,0,0,100,90,92.0,HIGH
Dadeldhura Ganyapdhura Trail,29.3500,80.5000,Dadeldhura,3,5,0,7,5,50,40,15,20,35,40.0,MEDIUM
Amargadhi Rural View,29.3000,80.6000,Dadeldhura,2,4,0,5,4,70,60,20,5,20,25.0,LOW
Ajaymeru Rural Route,29.4000,80.5500,Dadeldhura,5,8,0,6,6,30,25,10,35,50,55.0,MEDIUM
Baitadi Shivanath Trail,29.6000,80.5000,Baitadi,7,11,3,5,7,10,8,3,65,70,72.0,HIGH
Pancheshwor Rural Camp,29.5000,80.4500,Baitadi,8,12,4,6,8,5,5,2,70,75,78.0,HIGH
Dilasaini Village Area,29.5500,80.6000,Baitadi,4,7,0,8,5,40,30,10,25,45,50.0,MEDIUM
Patna Rural Route,29.4500,80.5500,Baitadi,3,6,0,6,5,50,40,15,20,35,40.0,MEDIUM
Darchula Malikarjun Trail,29.7000,80.6000,Darchula,8,13,4,7,8,5,5,2,70,80,82.0,HIGH
Khar Rural Valley,29.9000,80.8000,Darchula,14,18,12,0,10,0,0,0,100,95,95.0,HIGH
Byas Himal Camp,30.0000,80.7000,Darchula,20,20,20,0,10,0,0,0,100,100,99.0,HIGH
Bhedetar View Tower,26.8100,87.2800,Dhankuta,2,4,0,3,5,25,20,5,30,35,32.0,LOW
Hile Bazaar,26.9900,87.3300,Dhankuta,1,3,0,5,5,20,15,5,25,30,28.0,LOW
Namaste Jharana,26.9000,87.3000,Dhankuta,3,6,1,4,6,10,8,2,55,60,58.0,MEDIUM
Pakhribas Garden,26.9700,87.3500,Dhankuta,1,2,0,3,4,30,25,8,15,20,17.0,LOW
Sanguri Gadhi,26.9000,87.4000,Dhankuta,4,8,2,4,6,5,4,1,65,65,65.0,HIGH
Arun Valley,27.5000,87.1000,Sankhuwasabha,7,15,10,2,9,0,0,0,100,95,98.0,HIGH
Num Village,27.5500,87.1500,Sankhuwasabha,6,14,8,3,8,0,0,0,95,90,93.0,HIGH
Makalu Conservation Trail,27.6000,87.0500,Sankhuwasabha,9,18,16,1,10,0,0,0,100,100,100.0,HIGH
Hatuwagadhi,27.2000,87.2000,Bhojpur,5,10,3,4,7,2,1,0,85,80,82.0,HIGH
Bhojpur Bazaar,27.1700,87.0500,Bhojpur,1,3,0,5,5,20,15,5,25,30,28.0,LOW
Tinjure Milke Jaljale,27.2500,87.5000,Tehrathum,7,15,10,2,9,0,0,0,100,95,98.0,HIGH
Gupha Pokhari,27.1800,87.5000,Tehrathum,5,10,4,3,7,2,1,0,85,80,82.0,HIGH
Basantapur Bazaar,27.1500,87.5500,Tehrathum,1,2,0,3,4,25,20,5,20,25,22.0,LOW
Mai Pokhari Ilam,27.0200,87.9300,Ilam,2,3,0,5,5,20,15,5,30,35,32.0,LOW
Kanyam Tea Estate,26.9500,88.0200,Ilam,1,1,0,4,3,35,30,8,15,15,12.0,LOW
Fikkal Bazaar,26.8900,88.0000,Ilam,1,2,0,5,4,30,25,8,20,25,22.0,LOW
Antu Danda Sunrise,26.9500,88.0800,Ilam,2,4,0,4,5,15,12,3,35,35,35.0,LOW
Sandakpur Nepal,27.0500,87.9500,Ilam,5,12,5,3,8,0,0,0,90,85,87.0,HIGH
Pashupatinagar Border,26.9000,88.0000,Ilam,1,3,0,4,4,20,15,5,25,30,28.0,LOW
Koshi Tappu Wetland,26.6500,87.0000,Sunsari,3,0,0,15,2,15,12,3,60,65,62.0,MEDIUM
Barahachhetra,26.8000,87.1700,Sunsari,2,0,0,12,3,20,15,5,45,50,48.0,MEDIUM
Dharan Clock Tower,26.8100,87.2800,Sunsari,1,0,0,3,3,50,40,10,10,10,10.0,LOW
Bijayapur Hill,26.8200,87.2700,Sunsari,2,3,0,3,5,20,15,5,30,30,30.0,LOW
Biratnagar Tourism Area,26.4500,87.2700,Morang,1,0,0,10,2,60,50,15,5,25,15.0,LOW
Pathari Forest Area,26.7000,87.3500,Morang,2,1,0,8,3,25,20,5,30,35,32.0,LOW
Urlabari Wetland,26.6800,87.3500,Morang,2,0,0,10,2,25,20,5,35,40,38.0,MEDIUM
Kanepokhari Lake,26.7000,87.4500,Morang,1,0,0,8,2,30,25,8,20,30,25.0,LOW
Ilam Mai River,27.0000,87.8500,Ilam,3,1,0,12,3,15,12,3,55,60,58.0,MEDIUM
Kangchenjunga South Route,27.7000,88.0000,T taplejung,10,20,20,1,10,0,0,0,100,100,100.0,HIGH
Olangchung Gola,27.6700,87.9000,T taplejung,8,17,14,1,10,0,0,0,100,100,100.0,HIGH
Ghunsa Kanchenjunga,27.7400,87.9700,T taplejung,8,17,14,1,10,0,0,0,100,100,100.0,HIGH
Sele La Pass,27.7200,87.9500,T taplejung,10,20,20,1,10,0,0,0,100,100,100.0,HIGH
